zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,income_decile,poverty_decile,high_black
791,0.0630682404824896,0.2737033601514737,0.163880202116922,50254.95556286701,221082.5,8.0,6.0,0
792,0.0588106788306164,0.2905515277569624,0.1968673840554336,-616862.980808929,32888.0,1.0,9.0,0
793,0.0327582536431883,0.4503726145695761,0.1725206581990142,-85276.72310557643,144520.75,2.0,7.0,0
794,0.0720568868684329,0.3234329269952659,0.2033139670260358,-9353.287711350556,256212.75,4.0,9.0,0
795,0.0372556652278513,0.2548793787559579,0.1533657386551964,44250.05613030637,94905.0,7.0,6.0,0
796,0.0878199526300457,0.2386705555037393,0.179290562584328,44432.89586025079,128839.25,7.0,8.0,0
797,0.0478696045606936,0.476932616612155,0.1398301007912826,36737.62329294993,393906.5,5.0,5.0,0
798,0.0142163299783566,0.8452442058519435,0.3462676975703234,-199836.0750634293,73879.0,2.0,10.0,0
799,0.0286528653737478,0.8088971684104557,0.2288073242778552,35693.76758027202,756056.0,5.0,10.0,0
800,0.0741819386648442,0.2264908368961815,0.1223948999098172,65105.36623195282,788922.75,10.0,3.0,0
801,0.0117269933503387,0.0907695760042234,0.0547743778519334,87971.98972027858,651536.5,10.0,1.0,0
802,0.0698999656466655,0.3138949798079964,0.1693508541761109,53098.42537699051,1006722.75,8.0,7.0,0
803,0.0077285964581547,0.0822518688044866,0.1917405653222575,61713.77255599502,123704.5,9.0,8.0,0
804,0.0048476115753444,0.0842548586994175,0.0859341833355843,-398136.4536724181,210333.5,1.0,1.0,0
805,0.0069623952129235,0.1369644575225534,0.1185741112652794,-21062.742133366995,496350.0,3.0,3.0,0
806,0.0117640877784285,0.3326137656197028,0.1438610344502043,57890.99843044996,256794.25,9.0,5.0,0
807,0.0154200745081748,0.2355560859355305,0.1447536763724062,42823.01208008551,69258.0,6.0,5.0,0
808,0.0424750565818722,0.1090708411331343,0.0977873076669078,58889.09622819086,114717.5,9.0,2.0,0
809,0.0589138617123291,0.1608379562676261,0.1299319391138587,5.962806834374078,531947.5,4.0,4.0,0
810,0.0181701461903968,0.3950256662695574,0.1936929487119248,13270.017908698312,230114.0,4.0,8.0,0
811,0.0042631122970883,0.360811238602461,0.1716550858852576,-78110.33346371698,71347.5,2.0,7.0,0
812,0.039158038062539,0.1075805797062346,0.144803161609516,-257306.25398981737,84611.5,1.0,5.0,0
813,0.0026403857819564,0.1094380453000846,0.1443053748517335,-197505.30368059408,66396.25,2.0,5.0,0
814,0.006350225818434,0.157977862645665,0.1401747084952273,-28639.93372526996,84214.75,3.0,5.0,0
815,0.0060394150823243,0.1351794182780331,0.1413811144489208,-20181.38261587356,143469.75,3.0,5.0,0
816,0.0044363357150039,0.2368921140074383,0.1101875200711931,-106052.69222848804,151072.25,2.0,3.0,0
820,0.0224255722648013,0.1208462145711547,0.1448809857603157,-470177.91626338527,128768.5,1.0,5.0,0
821,0.0155970295885001,0.0421825403601338,0.1209707567021461,80611.25,747.75,10.0,3.0,0
822,0.0024877990044944,0.0791233434027698,0.1646851934151194,-1049246.1233847616,24760.0,1.0,6.0,0
823,0.0086170541810311,0.1670864849798345,0.1226151208467242,-1636519.5327503283,16225.0,1.0,3.0,0
824,0.0036744656089417,0.0695140151958217,0.0991299789208896,50675.42783779068,52813.75,8.0,2.0,0
825,0.0039633421817673,0.0587969924489615,0.1476424210603128,49707.20823294763,38983.25,8.0,5.0,0
826,0.0074945003674037,0.07073588387378,0.0912618900627394,-603708.6620886677,92261.0,1.0,2.0,0
827,0.0050865383257269,0.0653228458538898,0.0758572493773365,-367507.5687660567,60387.25,1.0,1.0,0
828,0.0038943387167219,0.037357709860243,0.0833124730996812,-2023496.774245724,37062.75,1.0,1.0,0
829,0.0034937084493637,0.1283287652859889,0.1072830416855964,-490039.590441721,70312.75,1.0,2.0,0
830,0.0012330117500824,0.1357409295802651,0.077889169499512,-3488637.589003539,20839.75,1.0,1.0,0
831,0.0007657025813367,0.0409329878492548,0.076415621677835,-1402964.0935063125,22196.25,1.0,1.0,0
832,0.0044107690840887,0.1021109672435822,0.1455912067212729,-246746.83925157588,172605.5,2.0,5.0,0
833,0.0029159774223413,0.2151012397559554,0.1527099115228786,-107954.72794478128,185847.75,2.0,5.0,0
834,0.0039516874573456,0.104321088187457,0.1635965849816506,-268950.4989559392,200245.0,1.0,6.0,0
835,0.0024569091768335,0.0297658993887536,0.1325545084071923,42938.07677509719,69116.75,6.0,4.0,0
836,0.0048946335603627,0.1589790593946236,0.1551187956141364,-38228.52682826622,436729.5,3.0,6.0,0
837,0.0119891181218967,0.0730368816667263,0.1424071994067708,51660.59889365098,260504.5,8.0,5.0,0
838,0.0031444114670493,0.0354001312365622,0.1503382075887926,-435216.5200734468,249774.5,1.0,5.0,0
840,0.0075882973354048,0.1025569928012238,0.0836615477859713,70682.8476122729,1255397.25,10.0,1.0,0
841,0.0197415002909925,0.2094278988371642,0.1545242879748649,52920.85237697512,596884.25,8.0,6.0,0
843,0.0048729087397271,0.0902222733997171,0.1298097013512058,-5016.319596165702,177366.0,4.0,4.0,0
844,0.0135621773272449,0.1796481038495121,0.1358549907379318,53652.005217125465,186857.75,8.0,4.0,0
845,0.0035153228963216,0.0870008342325286,0.165920753260193,-605090.4336247968,55635.0,1.0,7.0,0
846,0.0053216071450454,0.1198786944001181,0.1769515105564703,8361.07242895801,289412.75,4.0,7.0,0
847,0.0044105078422951,0.0856798154085527,0.1563415539003805,-37784.42942302852,225875.25,3.0,6.0,0
850,0.0619831069151952,0.4160672394418921,0.233289962001822,48300.47897760909,1339003.25,7.0,10.0,0
851,0.0439224919999113,0.2829472163137961,0.1497746289741607,52025.568371222544,388465.5,8.0,5.0,0
852,0.0322390519235692,0.1919746319259618,0.120241214334254,64908.8595907099,1449016.75,10.0,3.0,0
853,0.0457176312039758,0.3375109431966342,0.1422285858847431,40907.915289181314,1273205.75,6.0,5.0,0
855,0.0101318310597605,0.2474315287199021,0.2061581096734193,-22496.67362516679,94794.75,3.0,9.0,0
856,0.025449572711166,0.3662414330872729,0.1541844354789979,-55243.26384163676,294667.0,3.0,6.0,0
857,0.0336369005025789,0.3620911187509522,0.1947360168867145,34109.22148036315,885034.5,5.0,8.0,0
859,0.0056264861376467,0.1218121191646086,0.2252466996340626,-985134.7435697068,78305.75,1.0,10.0,0
860,0.0110121553089051,0.1302486473105625,0.2610141034505084,-746326.5431377529,179634.5,1.0,10.0,0
863,0.0052096832644658,0.1376232302177518,0.1556388957564389,44871.091855728766,210342.75,7.0,6.0,0
864,0.0095653996347097,0.1550906989699318,0.1778092148243836,39518.11596482201,194758.0,6.0,7.0,0
865,0.0029090077854145,0.0182377276449242,0.4039855886536884,26543.97526779353,62309.75,5.0,10.0,0
870,0.0071796489987711,0.4175559795588643,0.2120691647280072,-176357.62067506436,198998.5,2.0,9.0,0
871,0.0260116886907017,0.4744258643281411,0.1697437473267369,45325.72778916967,732142.5,7.0,7.0,0
873,0.005457738226084,0.1409928186976937,0.3397794778540063,-276222.4403896752,73709.5,1.0,10.0,0
874,0.0061378548353605,0.197472026636932,0.2032828161421625,50104.59059627698,123880.25,8.0,9.0,0
875,0.0054701087064934,0.5459123376475319,0.1786351221320588,-248044.0403210498,229994.5,2.0,7.0,0
877,0.0079068493809272,0.6662049299221571,0.2425023127231211,-2850431.4288750514,41477.5,1.0,10.0,0
878,0.0089622647188328,0.4093707561473987,0.2409864681206491,37161.87641571903,18411.25,5.0,10.0,0
879,0.0019874319298149,0.4205305094715439,0.2629282628845675,-1429174.4205146527,15847.5,1.0,10.0,0
880,0.0124910181332575,0.6399179537154374,0.2641660535157371,-217077.72018201815,273476.25,2.0,10.0,0
881,0.0458207306202829,0.3939489949014453,0.2084560221254501,-5115.562282580828,70892.5,4.0,9.0,0
882,0.0200442069817491,0.4985618154676628,0.1684727457884774,-522750.3413930674,184525.5,1.0,7.0,0
883,0.0297885646901747,0.2797561793308479,0.1662630237312119,-353295.51655151905,77474.5,1.0,7.0,0
884,0.0154251327156823,0.4816085420741858,0.1837766657596315,-5804653.219140662,17020.0,1.0,8.0,0
890,0.1020117409086909,0.2379148483707599,0.1278062999113886,58754.14179840806,588222.5,9.0,4.0,0
891,0.0986311833050238,0.309749417930913,0.1538569298060374,14847.147342589536,1426803.0,4.0,6.0,0
893,0.0220034279405361,0.1175600437478161,0.1335601403354495,49871.516733838456,12113.0,8.0,4.0,0
894,0.0141742481508848,0.1973982901775151,0.1277191584045591,-133383.34720540547,288028.25,2.0,4.0,0
895,0.0253157178776299,0.2126157529191108,0.1554494499353543,55731.32126602507,279583.5,9.0,6.0,0
