model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,SES_group,TPR,finbert_pca50 - structured,1,0.0695,,-0.0548,0.0147
Logistic,SES_group,TPR,finbert_pca50 - structured,2,0.0328,,-0.0731,-0.0403
Logistic,SES_group,TPR,finbert_pca50 - structured,3,0.0038,,0.0156,0.0194
Logistic,SES_group,TPR,finbert_pca50 - structured,4,0.2305,,-0.0633,0.1672
Logistic,SES_group,TPR,finbert_pca50 - structured,5,0.0323,,-0.0233,0.009
Logistic,SES_group,TPR,finbert_pca50 - structured,6,0.0066,,-0.0441,-0.0375
Logistic,SES_group,TPR,finbert_pca50 - structured,7,0.1178,,0.0588,0.1766
Logistic,SES_group,TPR,finbert_pca50 - structured,8,0.0647,,-0.003,0.0617
Logistic,SES_group,TPR,finbert_pca50 - structured,9,0.0191,,0.0346,0.0537
Logistic,SES_group,TPR,finbert_pca50 - structured,10,0.0495,,0.0251,0.0746
Logistic,SES_group,TPR,finbert_pca50 - structured,11,0.0666,,0.0296,0.0962
Logistic,SES_group,TPR,finbert_pca50 - structured,12,0.0516,,0.0009,0.0525
Logistic,SES_group,TPR,finbert_pca50 - structured,13,0.0786,,0.0031,0.0817
Logistic,SES_group,TPR,finbert_pca50 - structured,14,0.0471,,-0.0109,0.0362
Logistic,SES_group,FPR,finbert_pca50 - structured,1,0.0363,,-0.0066,0.0297
Logistic,SES_group,FPR,finbert_pca50 - structured,2,0.0862,,-0.0144,0.0718
Logistic,SES_group,FPR,finbert_pca50 - structured,3,0.1269,,-0.0391,0.0878
Logistic,SES_group,FPR,finbert_pca50 - structured,4,-0.006,,-0.0059,-0.0119
Logistic,SES_group,FPR,finbert_pca50 - structured,5,0.081,,-0.0066,0.0744
Logistic,SES_group,FPR,finbert_pca50 - structured,6,0.0855,,-0.0187,0.0668
Logistic,SES_group,FPR,finbert_pca50 - structured,7,0.0342,,0.0137,0.0479
Logistic,SES_group,FPR,finbert_pca50 - structured,8,0.0373,,-0.012,0.0253
Logistic,SES_group,FPR,finbert_pca50 - structured,9,0.0789,,0.0184,0.0973
Logistic,SES_group,FPR,finbert_pca50 - structured,10,0.0714,,-0.0121,0.0593
Logistic,SES_group,FPR,finbert_pca50 - structured,11,0.0577,,0.0057,0.0634
Logistic,SES_group,FPR,finbert_pca50 - structured,12,0.0435,,0.006,0.0495
Logistic,SES_group,FPR,finbert_pca50 - structured,13,0.0602,,-0.0088,0.0514
Logistic,SES_group,FPR,finbert_pca50 - structured,14,0.0453,,0.0035,0.0488
Logistic,SES_group,PPR,finbert_pca50 - structured,1,0.0459,,-0.014,0.0319
Logistic,SES_group,PPR,finbert_pca50 - structured,2,0.0956,,-0.0222,0.0734
Logistic,SES_group,PPR,finbert_pca50 - structured,3,0.1359,,-0.0305,0.1054
Logistic,SES_group,PPR,finbert_pca50 - structured,4,0.0288,,-0.0138,0.015
Logistic,SES_group,PPR,finbert_pca50 - structured,5,0.0736,,-0.009,0.0646
Logistic,SES_group,PPR,finbert_pca50 - structured,6,0.0762,,-0.0232,0.053
Logistic,SES_group,PPR,finbert_pca50 - structured,7,0.055,,0.0203,0.0753
Logistic,SES_group,PPR,finbert_pca50 - structured,8,0.0457,,-0.0103,0.0354
Logistic,SES_group,PPR,finbert_pca50 - structured,9,0.0741,,0.021,0.0951
Logistic,SES_group,PPR,finbert_pca50 - structured,10,0.0729,,-0.0067,0.0662
Logistic,SES_group,PPR,finbert_pca50 - structured,11,0.0633,,0.0095,0.0728
Logistic,SES_group,PPR,finbert_pca50 - structured,12,0.0522,,0.0054,0.0576
Logistic,SES_group,PPR,finbert_pca50 - structured,13,0.0691,,-0.0069,0.0622
Logistic,SES_group,PPR,finbert_pca50 - structured,14,0.0492,,0.0013,0.0505
Logistic,SES_group,AUC,finbert_pca50 - structured,1,-0.0121,,-0.0156,-0.0277
Logistic,SES_group,AUC,finbert_pca50 - structured,2,-0.0786,,-0.0094,-0.088
Logistic,SES_group,AUC,finbert_pca50 - structured,3,-0.0934,,0.0049,-0.0885
Logistic,SES_group,AUC,finbert_pca50 - structured,4,0.1199,,-0.0068,0.1131
Logistic,SES_group,AUC,finbert_pca50 - structured,5,-0.0175,,-0.0056,-0.0231
Logistic,SES_group,AUC,finbert_pca50 - structured,6,-0.089,,0.0033,-0.0857
Logistic,SES_group,AUC,finbert_pca50 - structured,7,0.0344,,0.0096,0.044
Logistic,SES_group,AUC,finbert_pca50 - structured,8,0.0321,,0.012,0.0441
Logistic,SES_group,AUC,finbert_pca50 - structured,9,-0.024,,-0.0069,-0.0309
Logistic,SES_group,AUC,finbert_pca50 - structured,10,-0.0046,,0.0028,-0.0018
Logistic,SES_group,AUC,finbert_pca50 - structured,11,0.0199,,0.0005,0.0204
Logistic,SES_group,AUC,finbert_pca50 - structured,12,0.0042,,-0.0045,-0.0003
Logistic,SES_group,AUC,finbert_pca50 - structured,13,0.0239,,-0.0023,0.0216
Logistic,SES_group,AUC,finbert_pca50 - structured,14,0.0004,,-0.0045,-0.0041
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,1,,0.041,-0.0263,0.0147
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,2,,-0.0159,-0.0244,-0.0403
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,3,,-0.0776,0.097,0.0194
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,4,,0.2214,-0.0542,0.1672
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,5,,0.0184,-0.0094,0.009
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,6,,-0.0202,-0.0173,-0.0375
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,7,,0.1711,0.0055,0.1766
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,8,,0.0457,0.016,0.0617
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,9,,0.0574,-0.0037,0.0537
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,10,,0.0671,0.0075,0.0746
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,11,,0.1055,-0.0093,0.0962
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,12,,0.0598,-0.0073,0.0525
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,13,,0.0952,-0.0135,0.0817
Logistic,SES_group,TPR,finbert_pca50 - tfidf_full,14,,0.0421,-0.0059,0.0362
Logistic,SES_group,FPR,finbert_pca50 - tfidf_full,1,,0.0287,0.001,0.0297
