zip3,BlackConcentration,weight,direction,SES_group
750,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
751,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
752,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
755,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
756,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
757,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
758,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
759,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
760,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
761,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
765,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
767,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
770,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
773,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
774,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
775,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
776,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
777,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
778,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
890,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
891,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
900,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
903,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
908,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
924,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
935,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
946,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
948,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
958,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
984,High,1.0,BlackConcentration (entropy-balanced on 7 SES covariates),
007,Low,4.976016840404709,BlackConcentration (entropy-balanced on 7 SES covariates),
010,Low,1.5200356498504364,BlackConcentration (entropy-balanced on 7 SES covariates),
013,Low,1.4454747962676582,BlackConcentration (entropy-balanced on 7 SES covariates),
015,Low,0.8220152851247498,BlackConcentration (entropy-balanced on 7 SES covariates),
018,Low,0.872629619542372,BlackConcentration (entropy-balanced on 7 SES covariates),
025,Low,0.3162629868895625,BlackConcentration (entropy-balanced on 7 SES covariates),
026,Low,0.3604118298804625,BlackConcentration (entropy-balanced on 7 SES covariates),
030,Low,0.5187625670304575,BlackConcentration (entropy-balanced on 7 SES covariates),
032,Low,0.2851456515477688,BlackConcentration (entropy-balanced on 7 SES covariates),
033,Low,1.096263282406617,BlackConcentration (entropy-balanced on 7 SES covariates),
034,Low,1.1970876289310877,BlackConcentration (entropy-balanced on 7 SES covariates),
035,Low,0.5962943377400217,BlackConcentration (entropy-balanced on 7 SES covariates),
036,Low,0.16896609454697628,BlackConcentration (entropy-balanced on 7 SES covariates),
037,Low,0.4466669079803588,BlackConcentration (entropy-balanced on 7 SES covariates),
038,Low,0.3893906453530477,BlackConcentration (entropy-balanced on 7 SES covariates),
044,Low,0.6407717132719005,BlackConcentration (entropy-balanced on 7 SES covariates),
049,Low,0.916617020690887,BlackConcentration (entropy-balanced on 7 SES covariates),
050,Low,0.41102597107370475,BlackConcentration (entropy-balanced on 7 SES covariates),
051,Low,0.5856006889433445,BlackConcentration (entropy-balanced on 7 SES covariates),
052,Low,0.6720474789055929,BlackConcentration (entropy-balanced on 7 SES covariates),
053,Low,0.7493581170522051,BlackConcentration (entropy-balanced on 7 SES covariates),
054,Low,0.627261524066493,BlackConcentration (entropy-balanced on 7 SES covariates),
056,Low,0.46344714584132346,BlackConcentration (entropy-balanced on 7 SES covariates),
057,Low,1.0530823985058138,BlackConcentration (entropy-balanced on 7 SES covariates),
058,Low,0.6755355134082043,BlackConcentration (entropy-balanced on 7 SES covariates),
059,Low,0.5952056592726809,BlackConcentration (entropy-balanced on 7 SES covariates),
062,Low,0.8520053119826473,BlackConcentration (entropy-balanced on 7 SES covariates),
074,Low,0.3603396249742666,BlackConcentration (entropy-balanced on 7 SES covariates),
102,Low,5.297887739656547,BlackConcentration (entropy-balanced on 7 SES covariates),
118,Low,0.10446514610620179,BlackConcentration (entropy-balanced on 7 SES covariates),
120,Low,0.9092571961736591,BlackConcentration (entropy-balanced on 7 SES covariates),
128,Low,0.8152111508347218,BlackConcentration (entropy-balanced on 7 SES covariates),
130,Low,0.7104662861856512,BlackConcentration (entropy-balanced on 7 SES covariates),
131,Low,0.6951973166923007,BlackConcentration (entropy-balanced on 7 SES covariates),
133,Low,0.7725975371852347,BlackConcentration (entropy-balanced on 7 SES covariates),
137,Low,0.9304091605766303,BlackConcentration (entropy-balanced on 7 SES covariates),
138,Low,0.9559799432137573,BlackConcentration (entropy-balanced on 7 SES covariates),
141,Low,0.6765581484826937,BlackConcentration (entropy-balanced on 7 SES covariates),
147,Low,0.9384683501828683,BlackConcentration (entropy-balanced on 7 SES covariates),
155,Low,0.38154785485162956,BlackConcentration (entropy-balanced on 7 SES covariates),
156,Low,0.5169503202677798,BlackConcentration (entropy-balanced on 7 SES covariates),
157,Low,0.7592299674830154,BlackConcentration (entropy-balanced on 7 SES covariates),
158,Low,0.6319970008225642,BlackConcentration (entropy-balanced on 7 SES covariates),
160,Low,0.5415553516474589,BlackConcentration (entropy-balanced on 7 SES covariates),
163,Low,0.8313925073686684,BlackConcentration (entropy-balanced on 7 SES covariates),
