representation,model,grouping,fold,group_level,bin,n,mean_pred,observed_rate
structured,Logistic,SES_group,9,Low,3,274,0.3769,0.1095
structured,Logistic,SES_group,9,Low,4,269,0.4336,0.1264
structured,Logistic,SES_group,9,Low,5,223,0.4908,0.1121
structured,Logistic,SES_group,9,Low,6,252,0.5461,0.1468
structured,Logistic,SES_group,9,Low,7,243,0.6104,0.2428
structured,Logistic,SES_group,9,Low,8,223,0.689,0.2197
structured,Logistic,SES_group,9,Low,9,231,0.8093,0.3939
structured,Logistic,SES_group,9,High,0,118,0.1458,0.0424
structured,Logistic,SES_group,9,High,1,133,0.2485,0.0602
structured,Logistic,SES_group,9,High,2,132,0.3151,0.1364
structured,Logistic,SES_group,9,High,3,131,0.3788,0.0382
structured,Logistic,SES_group,9,High,4,125,0.4351,0.096
structured,Logistic,SES_group,9,High,5,164,0.4895,0.1707
structured,Logistic,SES_group,9,High,6,154,0.5473,0.1688
structured,Logistic,SES_group,9,High,7,139,0.6114,0.1655
structured,Logistic,SES_group,9,High,8,171,0.6911,0.269
structured,Logistic,SES_group,9,High,9,162,0.8097,0.3395
structured,Logistic,BlackConcentration,9,Low,0,115,0.1468,0.0174
structured,Logistic,BlackConcentration,9,Low,1,86,0.2452,0.0465
structured,Logistic,BlackConcentration,9,Low,2,107,0.3144,0.1028
structured,Logistic,BlackConcentration,9,Low,3,100,0.3762,0.09
structured,Logistic,BlackConcentration,9,Low,4,108,0.4308,0.0926
structured,Logistic,BlackConcentration,9,Low,5,109,0.4878,0.1284
structured,Logistic,BlackConcentration,9,Low,6,97,0.5449,0.1856
structured,Logistic,BlackConcentration,9,Low,7,90,0.6126,0.1889
structured,Logistic,BlackConcentration,9,Low,8,105,0.6893,0.2857
structured,Logistic,BlackConcentration,9,Low,9,103,0.8068,0.2718
structured,Logistic,BlackConcentration,9,High,0,272,0.1431,0.0515
structured,Logistic,BlackConcentration,9,High,1,297,0.246,0.064
structured,Logistic,BlackConcentration,9,High,2,265,0.3155,0.0717
structured,Logistic,BlackConcentration,9,High,3,256,0.3766,0.0586
structured,Logistic,BlackConcentration,9,High,4,260,0.4363,0.1231
structured,Logistic,BlackConcentration,9,High,5,258,0.4901,0.1318
structured,Logistic,BlackConcentration,9,High,6,264,0.5477,0.1894
structured,Logistic,BlackConcentration,9,High,7,282,0.6113,0.2305
structured,Logistic,BlackConcentration,9,High,8,285,0.6899,0.2421
structured,Logistic,BlackConcentration,9,High,9,276,0.8109,0.3442
structured,Logistic,SES_group,10,Low,0,334,0.1585,0.0269
structured,Logistic,SES_group,10,Low,1,317,0.2524,0.0694
structured,Logistic,SES_group,10,Low,2,255,0.3155,0.0667
structured,Logistic,SES_group,10,Low,3,264,0.3674,0.0758
structured,Logistic,SES_group,10,Low,4,280,0.419,0.125
structured,Logistic,SES_group,10,Low,5,275,0.4744,0.16
structured,Logistic,SES_group,10,Low,6,251,0.5286,0.1873
structured,Logistic,SES_group,10,Low,7,269,0.5904,0.1784
structured,Logistic,SES_group,10,Low,8,237,0.661,0.2363
structured,Logistic,SES_group,10,Low,9,229,0.7715,0.3231
structured,Logistic,SES_group,10,High,0,118,0.1626,0.0424
structured,Logistic,SES_group,10,High,1,109,0.2525,0.0826
structured,Logistic,SES_group,10,High,2,148,0.3154,0.1081
structured,Logistic,SES_group,10,High,3,125,0.3692,0.072
structured,Logistic,SES_group,10,High,4,131,0.4191,0.0916
structured,Logistic,SES_group,10,High,5,132,0.4739,0.1515
structured,Logistic,SES_group,10,High,6,148,0.5285,0.1284
structured,Logistic,SES_group,10,High,7,146,0.588,0.1301
structured,Logistic,SES_group,10,High,8,147,0.6641,0.2925
structured,Logistic,SES_group,10,High,9,152,0.7735,0.375
structured,Logistic,BlackConcentration,10,Low,0,101,0.1596,0.0297
structured,Logistic,BlackConcentration,10,Low,1,102,0.2514,0.0882
structured,Logistic,BlackConcentration,10,Low,2,99,0.314,0.1111
structured,Logistic,BlackConcentration,10,Low,3,104,0.367,0.0577
structured,Logistic,BlackConcentration,10,Low,4,117,0.4191,0.1282
structured,Logistic,BlackConcentration,10,Low,5,91,0.4746,0.1429
structured,Logistic,BlackConcentration,10,Low,6,108,0.5284,0.1481
structured,Logistic,BlackConcentration,10,Low,7,94,0.5927,0.2021
structured,Logistic,BlackConcentration,10,Low,8,89,0.6604,0.2022
structured,Logistic,BlackConcentration,10,Low,9,107,0.7734,0.271
structured,Logistic,BlackConcentration,10,High,0,274,0.1581,0.0328
structured,Logistic,BlackConcentration,10,High,1,250,0.2525,0.084
structured,Logistic,BlackConcentration,10,High,2,277,0.3146,0.0903
structured,Logistic,BlackConcentration,10,High,3,260,0.3692,0.1038
structured,Logistic,BlackConcentration,10,High,4,248,0.42,0.125
structured,Logistic,BlackConcentration,10,High,5,267,0.4735,0.1685
structured,Logistic,BlackConcentration,10,High,6,272,0.5292,0.1618
structured,Logistic,BlackConcentration,10,High,7,276,0.5883,0.1594
structured,Logistic,BlackConcentration,10,High,8,289,0.6637,0.2941
structured,Logistic,BlackConcentration,10,High,9,281,0.776,0.4057
structured,Logistic,SES_group,11,Low,0,457,0.1646,0.035
structured,Logistic,SES_group,11,Low,1,379,0.2589,0.0475
structured,Logistic,SES_group,11,Low,2,381,0.3246,0.0945
structured,Logistic,SES_group,11,Low,3,388,0.3814,0.1005
structured,Logistic,SES_group,11,Low,4,354,0.4374,0.113
structured,Logistic,SES_group,11,Low,5,340,0.4869,0.1176
structured,Logistic,SES_group,11,Low,6,361,0.5414,0.1828
structured,Logistic,SES_group,11,Low,7,339,0.6011,0.236
structured,Logistic,SES_group,11,Low,8,333,0.6672,0.2312
structured,Logistic,SES_group,11,Low,9,315,0.7818,0.3206
structured,Logistic,SES_group,11,High,0,139,0.1662,0.0288
structured,Logistic,SES_group,11,High,1,178,0.2618,0.0225
structured,Logistic,SES_group,11,High,2,176,0.3267,0.0682
structured,Logistic,SES_group,11,High,3,185,0.3821,0.0865
