model,grouping,metric,comparison,fold,gap_structured,gap_tfidf_full,delta,gap_finbert_pca50
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,10,,0.0423,-0.0036,0.0387
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,11,,-0.0062,-0.0028,-0.009
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,12,,-0.0033,-0.0047,-0.008
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,13,,0.0159,-0.0008,0.0151
Logistic,BlackConcentration,AUC,finbert_pca50 - tfidf_full,14,,0.0172,0.004,0.0212
Logistic,SES_group,TPR,tfidf_full - structured,1,0.0432,0.0256,-0.0176,
Logistic,SES_group,TPR,tfidf_full - structured,2,-0.0211,-0.0211,0.0,
Logistic,SES_group,TPR,tfidf_full - structured,3,-0.0119,-0.0792,-0.0673,
Logistic,SES_group,TPR,tfidf_full - structured,4,0.2032,0.2029,-0.0003,
Logistic,SES_group,TPR,tfidf_full - structured,5,0.0333,0.0184,-0.0149,
Logistic,SES_group,TPR,tfidf_full - structured,6,0.0086,-0.0145,-0.0231,
Logistic,SES_group,TPR,tfidf_full - structured,7,0.124,0.1711,0.0471,
Logistic,SES_group,TPR,tfidf_full - structured,8,0.0647,0.0362,-0.0285,
Logistic,SES_group,TPR,tfidf_full - structured,9,0.0191,0.0619,0.0428,
Logistic,SES_group,TPR,tfidf_full - structured,10,0.0495,0.0671,0.0176,
Logistic,SES_group,TPR,tfidf_full - structured,11,0.0666,0.1035,0.0369,
Logistic,SES_group,TPR,tfidf_full - structured,12,0.0516,0.0598,0.0082,
Logistic,SES_group,TPR,tfidf_full - structured,13,0.0786,0.094,0.0154,
Logistic,SES_group,TPR,tfidf_full - structured,14,0.0471,0.0334,-0.0137,
Logistic,SES_group,FPR,tfidf_full - structured,1,0.0328,0.0572,0.0244,
Logistic,SES_group,FPR,tfidf_full - structured,2,0.089,0.0552,-0.0338,
Logistic,SES_group,FPR,tfidf_full - structured,3,0.1319,0.1205,-0.0114,
Logistic,SES_group,FPR,tfidf_full - structured,4,-0.0069,-0.0139,-0.007,
Logistic,SES_group,FPR,tfidf_full - structured,5,0.0762,0.0696,-0.0066,
Logistic,SES_group,FPR,tfidf_full - structured,6,0.0876,0.0691,-0.0185,
Logistic,SES_group,FPR,tfidf_full - structured,7,0.0488,0.0474,-0.0014,
Logistic,SES_group,FPR,tfidf_full - structured,8,0.0344,0.0253,-0.0091,
Logistic,SES_group,FPR,tfidf_full - structured,9,0.078,0.0931,0.0151,
Logistic,SES_group,FPR,tfidf_full - structured,10,0.0714,0.073,0.0016,
Logistic,SES_group,FPR,tfidf_full - structured,11,0.0577,0.0598,0.0021,
Logistic,SES_group,FPR,tfidf_full - structured,12,0.0435,0.0493,0.0058,
Logistic,SES_group,FPR,tfidf_full - structured,13,0.0598,0.0595,-0.0003,
Logistic,SES_group,FPR,tfidf_full - structured,14,0.0453,0.0507,0.0054,
Logistic,SES_group,PPR,tfidf_full - structured,1,0.039,0.0567,0.0177,
Logistic,SES_group,PPR,tfidf_full - structured,2,0.0891,0.0615,-0.0276,
Logistic,SES_group,PPR,tfidf_full - structured,3,0.1391,0.121,-0.0181,
Logistic,SES_group,PPR,tfidf_full - structured,4,0.0242,0.0184,-0.0058,
Logistic,SES_group,PPR,tfidf_full - structured,5,0.0697,0.0618,-0.0079,
Logistic,SES_group,PPR,tfidf_full - structured,6,0.0784,0.0589,-0.0195,
Logistic,SES_group,PPR,tfidf_full - structured,7,0.0683,0.0744,0.0061,
Logistic,SES_group,PPR,tfidf_full - structured,8,0.0433,0.0307,-0.0126,
Logistic,SES_group,PPR,tfidf_full - structured,9,0.0734,0.0927,0.0193,
Logistic,SES_group,PPR,tfidf_full - structured,10,0.0729,0.0769,0.004,
Logistic,SES_group,PPR,tfidf_full - structured,11,0.0633,0.0708,0.0075,
Logistic,SES_group,PPR,tfidf_full - structured,12,0.0522,0.0583,0.0061,
Logistic,SES_group,PPR,tfidf_full - structured,13,0.0687,0.071,0.0023,
Logistic,SES_group,PPR,tfidf_full - structured,14,0.0492,0.0518,0.0026,
Logistic,SES_group,AUC,tfidf_full - structured,1,-0.0113,-0.0188,-0.0075,
Logistic,SES_group,AUC,tfidf_full - structured,2,-0.0831,-0.0574,0.0257,
Logistic,SES_group,AUC,tfidf_full - structured,3,-0.0955,-0.1056,-0.0101,
Logistic,SES_group,AUC,tfidf_full - structured,4,0.1168,0.1129,-0.0039,
Logistic,SES_group,AUC,tfidf_full - structured,5,-0.0172,-0.0211,-0.0039,
Logistic,SES_group,AUC,tfidf_full - structured,6,-0.0899,-0.0931,-0.0032,
Logistic,SES_group,AUC,tfidf_full - structured,7,0.0343,0.0441,0.0098,
Logistic,SES_group,AUC,tfidf_full - structured,8,0.0325,0.039,0.0065,
Logistic,SES_group,AUC,tfidf_full - structured,9,-0.024,-0.0232,0.0008,
Logistic,SES_group,AUC,tfidf_full - structured,10,-0.0046,0.0003,0.0049,
Logistic,SES_group,AUC,tfidf_full - structured,11,0.0199,0.0234,0.0035,
Logistic,SES_group,AUC,tfidf_full - structured,12,0.0042,0.0051,0.0009,
Logistic,SES_group,AUC,tfidf_full - structured,13,0.0239,0.023,-0.0009,
