fold,train_cutoff,test_end,n_train,n_test,n_defaults,Model,Variant,AUC,PR_AUC,Brier,GINI,threshold,FNR_gap,FPR_gap,Brier_gap,n_groups
13,2013-08,2013-09,164582,12987,2052,XGBoost,Structured+Text,0.917943616853443,0.6640663663210152,0.12643690407276154,0.8358872337068859,0.7,0.20238095238095238,0.12529149883400467,0.08976976645915064,12
14,2013-11,2013-12,206416,15012,2299,Logistic,Structured,0.9122087082824631,0.611643056115289,0.12673978507518768,0.8244174165649263,0.5,0.2451923076923077,0.1357627940819791,0.0776205113198292,11
14,2013-11,2013-12,206416,15012,2299,Logistic,Structured,0.9122087082824631,0.611643056115289,0.12673978507518768,0.8244174165649263,0.6,0.266304347826087,0.1418240257131378,0.0776205113198292,11
14,2013-11,2013-12,206416,15012,2299,Logistic,Structured,0.9122087082824631,0.611643056115289,0.12673978507518768,0.8244174165649263,0.7,0.2907608695652174,0.14067426631093863,0.0776205113198292,11
14,2013-11,2013-12,206416,15012,2299,Logistic,Structured+Text,0.911310007357191,0.6053876887786312,0.126745757456354,0.8226200147143821,0.5,0.2451923076923077,0.1283566058002148,0.08126343136165325,11
14,2013-11,2013-12,206416,15012,2299,Logistic,Structured+Text,0.911310007357191,0.6053876887786312,0.126745757456354,0.8226200147143821,0.6,0.2569169960474308,0.1460101867572156,0.08126343136165325,11
14,2013-11,2013-12,206416,15012,2299,Logistic,Structured+Text,0.911310007357191,0.6053876887786312,0.126745757456354,0.8226200147143821,0.7,0.3532608695652174,0.13260975018190638,0.08126343136165325,11
14,2013-11,2013-12,206416,15012,2299,XGBoost,Structured,0.9196386569805709,0.6502967048281479,0.12637419998645782,0.8392773139611418,0.5,0.13793103448275862,0.125638523790392,0.07715406536104019,11
14,2013-11,2013-12,206416,15012,2299,XGBoost,Structured,0.9196386569805709,0.6502967048281479,0.12637419998645782,0.8392773139611418,0.6,0.2451923076923077,0.14607948442534907,0.07715406536104019,11
14,2013-11,2013-12,206416,15012,2299,XGBoost,Structured,0.9196386569805709,0.6502967048281479,0.12637419998645782,0.8392773139611418,0.7,0.22461538461538463,0.12406015037593984,0.07715406536104019,11
