Term,Type,Document_Frequency,Distress
pas,Unigram,361,0
majority,Unigram,360,0
add seek,Bigram,359,0
payment late,Bigram,359,0
type,Unigram,359,0
course,Unigram,358,0
make sure,Bigram,358,0
use payoff,Bigram,358,0
mortgage payment,Bigram,356,0
reduce rate,Bigram,356,0
add small,Bigram,355,0
alot,Unigram,355,0
commit,Unigram,355,0
military,Unigram,355,0
need little,Bigram,355,0
product,Unigram,355,0
rate thank,Bigram,355,0
add wish,Bigram,354,0
present,Unigram,354,0
client,Unigram,353,0
consolidate add,Bigram,353,0
add lower,Bigram,352,0
add payment,Bigram,352,0
deck,Unigram,352,0
work job,Bigram,352,0
country,Unigram,351,0
door,Unigram,351,0
make minimum,Bigram,351,0
burden,Unigram,350,1
currently month,Bigram,350,0
website,Unigram,350,0
assure,Unigram,349,0
lease,Unigram,349,0
prepare,Unigram,349,0
understand,Unigram,349,0
build credit,Bigram,347,0
choose,Unigram,347,0
consolidate exist,Bigram,347,0
today,Unigram,347,0
year stable,Bigram,347,0
consolidate current,Bigram,346,0
help make,Bigram,346,0
consolidation high,Bigram,345,0
head,Unigram,345,0
want make,Bigram,345,0
drive,Unigram,344,0
consideration add,Bigram,343,0
contact,Unigram,343,0
apr credit,Bigram,342,0
employ year,Bigram,342,0
card total,Bigram,341,0
economic,Unigram,341,0
like make,Bigram,341,0
real estate,Bigram,341,0
regard,Unigram,341,0
american express,Bigram,340,0
cable,Unigram,340,0
garage,Unigram,340,0
trouble,Unigram,340,0
like high,Bigram,339,0
department,Unigram,338,0
trust,Unigram,337,0
use help,Bigram,337,0
high intrest,Bigram,336,0
hit,Unigram,336,0
bedroom,Unigram,335,0
card able,Bigram,335,0
closer,Unigram,335,0
christmas,Unigram,334,0
difference,Unigram,334,0
haven,Unigram,334,0
yard,Unigram,333,0
long time,Bigram,332,0
matter,Unigram,331,0
promotion,Unigram,330,0
stable employment,Bigram,329,0
struggle,Unigram,329,1
card fix,Bigram,328,0
card start,Bigram,328,0
fix payment,Bigram,328,0
good candidate,Bigram,328,0
worker,Unigram,328,0
answer question,Bigram,327,0
rid high,Bigram,327,0
force,Unigram,326,0
month month,Bigram,326,0
need repair,Bigram,326,0
dont,Unigram,325,0
request consolidate,Bigram,325,0
residence,Unigram,325,0
able save,Bigram,324,0
card plan,Bigram,324,0
card try,Bigram,324,0
sense,Unigram,324,0
add lend,Bigram,323,0
add start,Bigram,323,0
bless,Unigram,323,0
consolidate outstanding,Bigram,323,0
efficient,Unigram,323,0
remain balance,Bigram,323,0
card student,Bigram,322,0
cell,Unigram,322,0
contribute,Unigram,322,0
percentage,Unigram,322,0
personal credit,Bigram,322,0
source,Unigram,322,0
year like,Bigram,322,0
credit line,Bigram,321,0
