zip3,share_black,share_hispanic,poverty_rate,median_income_approx,total_pop,poverty_decile,income_decile
068,0.04200355163746783,0.11913840547703562,0.056505987829125776,113205.16437878419,468313.75,1.0,10.0
069,0.14034415601810418,0.2597338258294189,0.10615807003667292,82882.14419884697,123386.5,3.0,10.0
070,0.13549996447185056,0.27354833771058046,0.10555488426701692,75829.78933426955,1693708.5,2.0,10.0
071,0.4725578356429354,0.29679025169418394,0.2283295167681027,42059.75773682354,395623.25,10.0,3.0
072,0.25617045543114497,0.49021207716788034,0.16180250138669056,47937.04647348001,181351.0,7.0,5.0
073,0.23975909991241076,0.2763156162448247,0.17676907235797146,63514.73656797439,250016.0,8.0,9.0
074,0.015234878934982399,0.0865938780321835,0.039252997742300226,102621.53714358961,462114.75,1.0,10.0
075,0.22509739113012206,0.48278345445763726,0.22194197046213177,47368.327697513516,198170.75,10.0,5.0
076,0.0779752232874243,0.17558216388678285,0.0697347251358405,86398.18733531403,494277.25,1.0,10.0
077,0.071478962556431,0.10165650448385188,0.06958008738748984,86650.03158205532,601133.5,1.0,10.0
078,0.028112807805754002,0.12321270445325597,0.04896433465692882,91419.62392883952,361191.75,1.0,10.0
079,0.031000417070200327,0.08531240974549202,0.04443036722327522,117784.39635839526,257041.75,1.0,10.0
080,0.12576416800012952,0.0628955446888757,0.07174837988546892,74631.98906029198,1160963.5,1.0,10.0
081,0.28752059632220645,0.3196010064050955,0.23173166337578366,47036.87644480957,158791.0,10.0,5.0
082,0.09419442641042422,0.12165706792000033,0.10057365826412225,60629.93398467392,251688.75,2.0,8.0
083,0.1581512794301408,0.2131705432509663,0.1313539207357804,57405.11077195886,242923.0,4.0,8.0
084,0.26326750574385815,0.2036502085085306,0.25606278893459405,39471.704025837906,57951.75,10.0,2.0
085,0.054624398437346275,0.07783172632363942,0.04090920771712603,106992.92100446009,311650.5,1.0,10.0
086,0.2576558110827625,0.17407936707906901,0.12402377090627187,66240.8114788678,268065.0,4.0,9.0
087,0.0287088102977828,0.08480180301313067,0.11187714782423842,61554.42836681423,454431.0,3.0,9.0
088,0.07762704905554821,0.14021358924614016,0.060010401579955644,87799.13880510375,901437.25,1.0,10.0
089,0.1411644642532157,0.3428032347723935,0.17350683073097523,62912.997245319886,110890.0,8.0,9.0
100,0.13383699013403638,0.26096542682021595,0.17588106687705282,75101.56511972348,1517381.0,8.0,10.0
101,0.035881502822374824,0.10341674959494135,0.07314995213278067,99563.71818663747,61647.75,1.0,10.0
102,0.009698999379129125,0.13122334947488654,0.04190153997252255,170867.9338963499,13876.75,1.0,10.0
103,0.09576636181188712,0.1727149323574672,0.11469405371217214,72849.49635160409,469038.25,3.0,10.0
104,0.2989228817063325,0.5394366532984147,0.2894949430310221,36520.27372562448,1392572.25,10.0,1.0
105,0.10585122198169915,0.1624224717066453,0.06752113096336668,102863.5756931304,647819.0,1.0,10.0
106,0.15243671784200946,0.2836240343286648,0.0843999919106151,87102.68650493148,81967.5,1.0,10.0
107,0.14200616342014727,0.3106043525361662,0.13761435966146665,65723.1225846629,228221.5,5.0,9.0
108,0.17496986850817062,0.24869828214225603,0.1033119429551672,83925.40450696858,86408.0,2.0,10.0
109,0.09839846958861803,0.1600011465694923,0.12384138702187797,82306.67809980726,539268.75,4.0,10.0
110,0.10803646219477844,0.13009698448209367,0.05097819926981782,100087.88219572397,249663.25,1.0,10.0
111,0.0542927072085244,0.28055663998135705,0.1620306660726108,54062.591222987816,200304.25,7.0,7.0
112,0.32044004258465664,0.19752787979077538,0.2265275274575903,48367.37495367312,2527362.25,10.0,5.0
113,0.0398946398869573,0.31986910124882906,0.14681374614339518,56863.11458671829,1159254.0,5.0,8.0
114,0.3978352095142957,0.22110867056255365,0.12750984904252366,62292.10455669471,758717.25,4.0,9.0
115,0.15576623192522956,0.18993321230857324,0.07411718533028377,94284.35322024667,717095.5,1.0,10.0
116,0.3704181594182793,0.2218811056426392,0.20060284163823242,50019.0129460913,115474.0,9.0,6.0
117,0.0601547262582271,0.15240489173768257,0.05187461676495163,95987.62441886362,1571224.0,1.0,10.0
118,0.0103810278024944,0.08502088668316057,0.0389522674085839,105679.10599751654,72382.75,1.0,10.0
119,0.059411238000694276,0.14271362037594804,0.08120696220583443,75936.36746469642,246976.5,1.0,10.0
